Property Link,Property Name,Property Status,Type,Address,City,State,Zip,Tenant(s),Lease Term,Remaining Term,SqFt,Lot Size,Units,Price/Unit,NOI,Cap Rate,Asking Price,Price/SqFt,Price/Acre,Days on Market,Opportunity Zone,Longitude,Latitude
https://www.crexi.com/properties/1956190/new-york-626-e-223rd-street,626 E 223rd Street,On-Market,Multifamily,626 E 223rd St,The Bronx,NY,10466,,,,2340.0,,8.0,168750.0,99024.0,7.34,1350000.0,211.0,,134.0,No,-73.8638118,40.887054
https://www.crexi.com/properties/1505613/new-york-4116-carpenter-avenue-bronx-ny-10466,4116 Carpenter Avenue Bronx NY 10466,On-Market,Multifamily,4116 Carpenter Ave,The Bronx,NY,10466,,,,50830.0,,63.0,104761.9,428647.0,6.49,6600000.0,129.84,,556.0,No,-73.8615380046227,40.8920263544398
https://www.crexi.com/properties/2196807/new-york-579-fort-washington-avenue,579 Fort Washington Avenue,On-Market,Multifamily,579 Fort Washington Ave,Washington Heights,NY,10033,,,,46550.0,,62.0,129032.0,508286.0,6.35,8000000.0,172.0,,12.0,No,-73.9373682,40.8547513
https://www.crexi.com/properties/1574976/new-york-bronx-8-free-market-units-103-cap-202sf,"8 Free Market Units, 10 CAP, 202SF",On-Market,Multifamily,637 E 224th St,The Bronx,NY,10466,,,,7690.0,,8.0,193750.0,155316.0,10.02,1550000.0,201.56,,479.0,No,-73.8630068,40.887979
https://www.crexi.com/properties/2198054/new-york-127-131-highland-ave,127-131 Highland Ave,On-Market,"Mixed Use, Multifamily",127 Highland Ave,Yonkers,NY,10705,,,,10668.0,,,,,6.85,2900000.0,271.841019872516,,8.0,No,-73.8998592,40.9268
https://www.crexi.com/properties/1756242/new-york-vernon-court,Vernon Court,On-Market,Multifamily,257 S 3rd Ave,Mount Vernon,NY,10550,,,,20379.0,0.12,24.0,,275000.0,6.72,4100000.0,262.0,34166666.6666667,263.0,Yes,-73.8333957,40.9052822
https://www.crexi.com/properties/1827841/new-york-3144-hull-ave-bronx-ny---prime-norwood,"3144 Hull Ave, Bronx, NY - PRIME NORWOOD",On-Market,Multifamily,3144 Hull Ave,The Bronx,NY,10467,,,,5780.0,,8.0,,117076.0,6.5,1800000.0,311.418685121107,,219.0,No,-73.8772972298419,40.8731814018423
https://www.crexi.com/properties/2160711/new-york-2436-marion-ave,Fordham  27-Unit Multifamily,On-Market,Multifamily,2436 Marion Ave,New York,NY,10458,,,,21750.0,,27.0,,,10.7,2150000.0,101.0,,49.0,No,-73.8942048,40.8596923
https://www.crexi.com/properties/2163361/new-york-close-to-city-line,Close to City Line,On-Market,Multifamily,90 St Andrews Pl,Yonkers,NY,10705,,,,12180.0,0.1,13.0,,,,3450000.0,283.251231527094,34500000.0,44.0,No,-73.9008698,40.9169801
https://www.crexi.com/properties/1927670/new-york-3100-decatur,3100 Decatur,On-Market,Multifamily,3100 Decatur Ave,The Bronx,NY,10467,,,,,,8.0,,,,1485000.0,,,156.0,No,-73.8777987,40.8714308
https://www.crexi.com/properties/1985284/new-york-3477-fort-independence-st,Kingsbridge Heights  9-Unit Multifamily,On-Market,Multifamily,3477 Fort Independence St,The Bronx,NY,10463,,,,4360.0,,9.0,,,11.2,1350000.0,138.0,,113.0,No,-73.8988068,40.8820649
https://www.crexi.com/properties/1964353/new-york-737-yonkers-ave,737 Yonkers Ave,On-Market,Multifamily,737 Yonkers Ave,Yonkers,NY,10704,,,,26592.0,0.18,34.0,,,,5000000.0,188.026474127557,27777777.7777778,123.0,No,-73.864875,40.9234731
https://www.crexi.com/properties/1954021/new-york-1053---59-east-gun-hill-road,1053 - 59 East Gun Hill Road,On-Market,Multifamily,1053 E Gun Hill Rd,The Bronx,NY,10469,,,,20081.0,,21.0,104761.9,158400.0,7.2,2200000.0,109.56,,135.0,No,-73.8558868,40.8741847
